target,opens,expires,interest,type,location,investors,projectNr
40 000€,20 000€,2020/01/31,11%,2020/02/21,Specialized,"Tokyo, Japan",2807
180 000€,2019/07/22,2019/08/12,14%,Specialized,Latvia,662,2106
950 000€,2019/10/07,2019/11/01,18% + 2%,Specialized,Latvia,1464,2496
213 608€,100 000€,2019/12/20,16%,2020/01/20,Specialized,Latvia,2787
156 089€,80 000€,2019/12/23,16%,2020/01/20,Specialized,Latvia,2788
300 000€,100 000€,2019/12/16,16%,2020/01/03,Specialized,Latvia,2785
2 491€,2020/04/28,2020/04/30,19%,SME,Estonia,19,2834
39 375€,2020/05/08,2020/06/05,21%,SME,Estonia,250,2848
13 240€,2020/05/22,2020/06/05,19%,SME,Baltic States,110,2863
16 133€,2020/07/09,2020/07/22,17%,SME,Estonia,155,2916
5 123€,2020/06/30,2020/07/14,22%,SME,Lithuania,31,2897
20143€,2020/06/18,2020/07/01,19%,SME,Lithuania,87,2873
980 000€,500 000€,2019/10/18,26%,2019/11/15,Specialized,Baltic States,2563
700 000€,300 000€,2020/01/17,26%,2020/02/15,Specialized,Baltic States,2802
50 000€,20 000€,2019/10/15,14%,2019/10/25,Specialized,"Riga, Latvia",2558
20 000€,2019/09/17,2019/10/01,11%,Specialized,"Jurmala, Latvia",112,2361
750 000€,150 000€,2020/07/21,36%,2020/08/05,Specialized,Germany,2925
600 000€,200 000€,2020/09/15,36%,2020/09/30,Specialized,Germany,2962
250 000€,50 000€,2020/07/31,36%,2020/08/14,Specialized,Germany,2930
210 000€,2019/05/20,2019/06/10,17%,Real Estate,"Riga, Latvia",527,1882
450 000€,2019/07/29,2019/09/16,15%,Specialized,"Riga, Latvia",1613,2141
50 000€,20 000€,2020/05/20,22%,2020/06/19,Real Estate,"Kuldiga, Latvia",2857
705 194€,2019/04/05,2019/06/05,18%,Specialized,inch2.com,1262,1800
100 000€,2018/10/24,2018/11/30,17%,Specialized,Worldwide,200,1256
40 000€,10 000€,2020/08/07,21%,2020/09/04,Specialized,Worldwide,2936
123 149€,40 000€,2019/12/13,14%,2019/12/30,Specialized,"Manchester, UK",2784
10 000€,5 000€,2020/06/04,14%,2020/07/01,Specialized,"Tallinn, Estonia",2869
10 000€,5 000€,2020/06/25,15%,2020/07/10,SME,"Tallinn, Estonia",2888
10 000€,5 000€,2020/07/07,15%,2020/07/30,SME,"Tallinn, Estonia",2909
10 000€,5 000€,2020/07/23,15%,2020/08/06,Specialized,"Tallinn, Estonia",2928
180 041€,30 000€,2020/01/10,14%,2020/02/10,Specialized,"Tallinn, Estonia",2797
200 000€,2019/09/16,2019/10/07,14%,Specialized,"Tallinn, Estonia",878,2301
700 000€,2019/07/08,2019/08/01,20.7%,Real Estate,"Riga, Latvia",1302,2051
18 182€,2020/07/03,2020/07/17,17%,SME,Latvia,150,2904
140 000€,2019/07/09,2019/08/09,14%,Specialized,"Moscow, Russia",649,2048
120 000€,2019/01/08,2019/02/08,17%,Specialized,"Moscow, Russia",251,1474
40 000€,10 000€,2020/08/06,20%,2020/09/03,Specialized,"Moscow, Russia",2935
250 000€,2019/03/06,2019/03/31,16%,Specialized,"Moscow, Russia",536,1659
20 000€,10 000€,2020/02/26,12%,2020/03/06,Specialized,Baltic States,2817
8 673€,2020/07/01,2020/07/15,21%,SME,Estonia,84,2899
450 000€,50 000€,2020/06/22,32%,2020/07/15,Specialized,"Riga, Latvia",2872
200 000€,50 000€,2020/06/30,32%,2020/07/30,Specialized,"Riga, Latvia",2889
200 000€,50 000€,2020/08/19,32%,2020/08/26,Specialized,Latvia,2939
430 000€,180 000€,2020/07/17,32%,2020/07/21,Specialized,Latvia,2912
